"farm_id","county","district","species","production","capacity","x","y"
1,"Allegheny","Cliffside Park","duck","conventional",13570,454041.272865852,4676745.4847226
2,"Allegheny","Rockleigh","chicken","broiler_2",1650,437886.164923934,4642867.26168917
3,"Fulton","Roselle","chicken","broiler_2",1632,418430.342103822,4673373.12704002
4,"Fulton","Hightstown","duck","organic",965,415527.794992011,4663552.09886266
5,"Fulton","Hulmeville","duck","conventional",14844,435731.287823541,4670469.7647097
6,"Fulton","Roselle","chicken","broiler_2",1779,412596.016275603,4668634.92455324
7,"Fulton","Logan","duck","organic",806,440294.49452272,4677212.63979843
8,"Fulton","Secaucus","duck","conventional",15993,424341.446949416,4678579.61390029
9,"Allegheny","Demarest","duck","conventional",15316,435977.378832262,4657632.85534981
10,"Fulton","Harding","chicken","broiler_2",917,431866.164424147,4647170.03727031
11,"Allegheny","Aberdeen","chicken","broiler_2",2532,446155.777044772,4663678.65979842
12,"Allegheny","Rockleigh","duck","conventional",15394,437880.378735591,4643787.55441469
13,"Fulton","Clifton","duck","conventional",13977,419574.08055088,4660731.2789546
14,"Allegheny","Cliffside Park","chicken","broiler_1",4561,454332.395392698,4669564.27249101
15,"Allegheny","Rockleigh","duck","conventional",15487,441947.368837493,4642738.22293494
16,"Allegheny","Rockleigh","chicken","broiler_2",952,437076.242944816,4649955.02079878
17,"Allegheny","Aberdeen","chicken","layer",18876,441598.597243924,4671578.58194806
18,"Fulton","Harding","duck","conventional",15160,428891.102754204,4653039.46376217
19,"Fulton","Ocean","duck","conventional",15270,428180.282533965,4661642.51930889
20,"Fulton","Logan","duck","conventional",15235,440120.101581146,4673067.60326983
21,"Fulton","Hawthorne","chicken","broiler_2",1571,425658.402285226,4648967.65316886
22,"Fulton","Pleasantville","chicken","broiler_2",1621,411900.183819297,4652313.44899673
23,"Fulton","Linwood","duck","conventional",13701,417303.246865776,4644410.3909442
24,"Fulton","Newfield","duck","conventional",15421,426325.189165517,4664268.72832176
25,"Fulton","Logan","chicken","broiler_2",1395,431972.162473826,4675538.21663368
26,"Fulton","Ocean","duck","conventional",14265,423699.746926879,4658856.57469126
27,"Fulton","Newfield","chicken","broiler_1",5753,427883.4750168,4670674.30988018
28,"Fulton","Trenton","duck","conventional",15420,413005.541766193,4643997.7333386
29,"Fulton","Hulmeville","duck","conventional",15342,435321.600439244,4667482.65138879
30,"Fulton","Newfield","chicken","broiler_1",6958,424292.255620809,4670768.3540351
31,"Allegheny","Demarest","chicken","broiler_2",938,441028.274422852,4655578.94477807
32,"Fulton","Pleasantville","duck","conventional",16652,413170.340909648,4653816.78474466
33,"Fulton","Logan","chicken","broiler_2",1940,435780.054761252,4676541.03148205
34,"Allegheny","Demarest","duck","conventional",14437,444072.27546089,4659820.94781717
