"farm_id","date_start","date_end","volume"
1,2025-08-07,2025-09-29,13335
1,2025-10-26,2025-12-20,13101
1,2026-01-13,,13500
2,2025-08-22,2025-09-18,1601
2,2025-10-11,2025-11-07,1593
2,2025-11-29,2025-12-30,1612
3,2025-09-20,2025-10-17,1619
3,2025-11-09,2025-12-06,1598
3,2025-12-31,,1600
4,2025-08-20,2025-11-08,919
4,2025-11-30,,915
5,2025-09-12,2025-11-01,14617
5,2025-11-26,,14521
6,2025-08-15,2025-09-11,1731
6,2025-10-03,2025-10-30,1742
6,2025-11-21,2025-12-19,1762
6,2026-01-12,,1722
7,2025-09-05,2025-11-25,792
7,2025-12-17,,797
8,2025-08-13,2025-10-05,15741
8,2025-11-01,2025-12-29,15217
9,2025-09-06,2025-10-31,14618
9,2025-11-22,,14636
10,2025-08-25,2025-09-21,894
10,2025-10-13,2025-11-09,898
10,2025-12-01,2026-01-01,904
11,2025-08-24,2025-09-20,2464
11,2025-10-13,2025-11-09,2528
11,2025-12-01,2026-01-01,2498
12,2025-07-15,2025-09-02,15070
12,2025-09-26,2025-11-14,15056
12,2025-12-09,,14756
13,2025-08-04,2025-09-22,13381
13,2025-10-16,2025-12-03,13419
13,2025-12-28,,13474
14,2025-08-28,2025-09-17,4361
14,2025-10-22,2025-11-11,4397
14,2025-12-10,2026-01-03,4388
15,2025-09-20,2025-11-07,15094
15,2025-11-29,,14766
16,2025-08-09,2025-09-05,939
16,2025-09-28,2025-10-25,949
16,2025-11-17,2025-12-15,947
16,2026-01-08,,942
17,2025-07-10,,18581
18,2025-07-31,2025-09-21,14507
18,2025-10-13,2025-12-02,14687
18,2025-12-27,,14295
19,2025-08-04,2025-09-21,14562
19,2025-10-15,2025-12-05,15061
19,2025-12-31,,15255
20,2025-07-14,2025-09-06,14827
20,2025-09-28,2025-11-17,14764
20,2025-12-11,,15175
21,2025-08-06,2025-09-02,1533
21,2025-09-25,2025-10-22,1526
21,2025-11-14,2025-12-11,1541
21,2026-01-05,,1560
22,2025-08-11,2025-09-07,1581
22,2025-09-29,2025-10-26,1612
22,2025-11-18,2025-12-16,1617
22,2026-01-09,,1603
23,2025-09-18,2025-11-09,13672
23,2025-12-05,,13680
24,2025-09-19,2025-11-10,14846
24,2025-12-03,,15198
25,2025-09-09,2025-10-06,1379
25,2025-10-28,2025-11-24,1380
25,2025-12-18,,1384
26,2025-09-09,2025-10-29,14199
26,2025-11-20,,13537
27,2025-09-04,2025-09-24,5662
27,2025-10-27,2025-11-16,5466
27,2025-12-26,,5524
28,2025-09-08,2025-10-28,15254
28,2025-11-23,,15412
29,2025-09-19,2025-11-07,14492
29,2025-11-30,,15299
