"date","source_farm","dest_farm","volume"
2025-09-01,549,741,1550
2025-09-01,549,4853,2525
2025-09-01,549,8742,1982
2025-09-01,597,4459,1845
2025-09-01,597,6695,3300
2025-09-01,1019,106,1203
2025-09-01,1019,906,1246
2025-09-01,1019,3359,1499
2025-09-01,2311,2556,1427
2025-09-01,2311,2705,1801
2025-09-01,2311,3022,1983
2025-09-01,2524,2280,878
2025-09-01,2524,4095,1031
2025-09-01,2524,6509,3874
2025-09-01,2723,2247,1970
2025-09-01,2723,2915,690
2025-09-01,2723,3952,2311
2025-09-01,2780,2333,1128
2025-09-01,2780,8579,3143
2025-09-01,2828,7886,3657
2025-09-01,3143,1675,539
2025-09-01,3143,4298,843
2025-09-01,3143,8600,2729
2025-09-01,3392,2722,1698
2025-09-01,3392,6994,2712
2025-09-01,3418,3802,2340
2025-09-01,3418,6067,3531
2025-09-01,3420,7676,3338
2025-09-01,3697,4796,1043
2025-09-01,3697,4829,1600
2025-09-01,3697,8410,3327
2025-09-01,3769,4252,2309
2025-09-01,3769,8479,4239
2025-09-01,4270,1443,2271
2025-09-01,4270,6168,2751
2025-09-01,4527,4725,1872
2025-09-01,4527,6516,3415
2025-09-01,4639,226,1459
2025-09-01,4639,1953,1356
2025-09-01,4639,2027,1727
2025-09-01,5354,2512,1818
2025-09-01,5354,4081,1088
2025-09-01,5354,7411,3137
2025-09-01,5519,5881,4156
2025-09-01,6393,5697,4576
2025-09-01,6795,239,1241
2025-09-01,6795,692,1910
2025-09-01,6795,765,1965
2025-09-01,6958,7045,3479
2025-09-01,6958,7159,2554
2025-09-01,6992,2314,1050
2025-09-01,6992,6451,2529
2025-09-01,6992,8637,2991
2025-09-01,7596,1217,1904
2025-09-01,7596,4985,2173
2025-09-01,7596,8029,3198
2025-09-01,7815,1003,1465
2025-09-01,7815,8765,3118
2025-09-01,7815,8891,2857
2025-09-01,8488,8308,4342
2025-09-01,8830,8985,3913
2025-09-02,218,413,744
2025-09-02,218,1862,1733
2025-09-02,218,2181,1357
2025-09-02,258,8040,4106
2025-09-02,382,1163,2218
2025-09-02,382,3858,567
2025-09-02,382,5280,3370
2025-09-02,520,1343,1250
2025-09-02,520,5722,3287
2025-09-02,1128,1956,2036
2025-09-02,1128,1989,1850
2025-09-02,1128,7989,2975
2025-09-02,1637,469,2088
2025-09-02,1637,1355,1350
2025-09-02,1637,2172,2053
2025-09-02,2491,3664,1863
2025-09-02,2491,4061,1229
2025-09-02,2491,8575,2983
2025-09-02,2674,2252,1449
2025-09-02,2674,4834,1194
2025-09-02,2674,8322,3050
2025-09-02,3086,4675,1376
2025-09-02,3086,7202,3590
2025-09-02,3086,7469,1977
2025-09-02,3165,842,517
2025-09-02,3165,5551,3280
2025-09-02,3165,5816,3518
2025-09-02,3961,895,1022
2025-09-02,3961,4011,734
2025-09-02,3961,6355,2655
2025-09-02,4296,4169,662
2025-09-02,4296,5403,3355
2025-09-02,4296,8843,3233
2025-09-02,5835,3079,1522
2025-09-02,5835,3504,2079
2025-09-02,6313,408,1910
2025-09-02,6313,2131,1495
2025-09-02,6974,4230,1414
2025-09-02,6974,8770,3224
2025-09-02,7383,4371,1474
2025-09-02,7383,6813,3630
2025-09-02,8550,3055,1214
2025-09-02,8550,5933,3994
2025-09-03,465,2871,1635
2025-09-03,465,3503,1400
2025-09-03,465,7894,4442
2025-09-03,753,519,2278
2025-09-03,753,5512,3818
2025-09-03,1169,4881,1159
2025-09-03,1169,5638,4488
2025-09-03,1738,877,1433
2025-09-03,1738,1688,1135
2025-09-03,1738,7736,2483
2025-09-03,2680,235,1349
2025-09-03,2680,856,1169
2025-09-03,2680,1375,1290
2025-09-03,2834,3338,615
2025-09-03,2834,4583,1451
2025-09-03,2834,7062,4100
2025-09-03,2943,1865,846
2025-09-03,2943,5577,2970
2025-09-03,2943,8418,2773
2025-09-03,3149,2877,1490
2025-09-03,3149,3473,1422
2025-09-03,3149,5806,2964
2025-09-03,3749,2335,684
2025-09-03,3749,3551,2290
2025-09-03,3749,8313,2931
2025-09-03,4119,4185,1428
2025-09-03,4119,5545,3203
2025-09-03,4286,227,905
2025-09-03,4286,687,2623
2025-09-03,4286,8094,2447
2025-09-03,5626,6823,4376
2025-09-03,6286,4741,1251
2025-09-03,6286,8867,2634
2025-09-03,6697,2879,1352
2025-09-03,6697,4485,1095
2025-09-03,6697,4962,1187
2025-09-03,7849,6986,3103
2025-09-03,7849,7333,2766
2025-09-03,7931,7801,3711
2025-09-03,7931,8135,2457
2025-09-03,8366,3001,1043
2025-09-03,8366,3020,1465
2025-09-03,8366,8092,4170
2025-09-03,8909,2260,1763
2025-09-03,8909,4028,1460
2025-09-03,8909,4101,2132
2025-09-03,8966,568,2125
2025-09-03,8966,3148,1232
2025-09-03,8966,6681,4192
2025-09-03,9116,5252,1615
2025-09-03,9116,6354,3279
2025-09-03,9116,7424,2190
2025-09-04,897,2549,1263
2025-09-04,897,3259,2350
2025-09-04,949,261,1466
2025-09-04,949,1734,989
2025-09-04,949,6793,2634
2025-09-04,1398,100,713
2025-09-04,1398,7808,3320
2025-09-04,1502,3628,2222
2025-09-04,1502,4301,1284
2025-09-04,1525,4502,1413
2025-09-04,1525,6310,2643
2025-09-04,1525,8677,3671
2025-09-04,2809,3425,1881
2025-09-04,2809,8219,4170
2025-09-04,2980,6881,3837
2025-09-04,3144,2714,1477
2025-09-04,3144,3251,2150
2025-09-04,3593,986,1705
2025-09-04,3593,1817,1591
2025-09-04,3593,1926,1192
2025-09-04,3668,3970,954
2025-09-04,3668,5352,3775
2025-09-04,3687,2919,1606
2025-09-04,3687,4147,1118
2025-09-04,3687,4386,2670
2025-09-04,4684,2134,1560
2025-09-04,4684,5829,2765
2025-09-04,5565,3027,2023
2025-09-04,5565,3783,650
2025-09-04,5565,7548,2513
2025-09-04,6172,2973,2079
2025-09-04,6172,8726,3158
2025-09-04,6172,8733,2818
2025-09-04,6225,1683,1404
2025-09-04,6225,4742,1249
2025-09-04,6225,6528,3053
2025-09-04,6303,7121,2991
2025-09-04,6303,8439,3165
2025-09-04,6605,617,1178
2025-09-04,6605,827,2066
2025-09-04,6605,1641,1081
2025-09-04,7461,7455,3441
2025-09-04,7461,7489,2738
2025-09-04,7633,6657,3220
2025-09-04,7633,8817,2929
2025-09-04,8044,4187,1353
2025-09-04,8044,8049,3486
2025-09-04,8483,398,905
2025-09-04,8483,1485,2496
2025-09-04,8483,6401,2934
2025-09-04,8852,8610,3853
2025-09-04,8852,8833,2868
2025-09-05,958,4050,1291
2025-09-05,958,4820,2727
2025-09-05,1065,1617,998
2025-09-05,1065,1895,771
2025-09-05,1065,1902,1990
2025-09-05,1133,116,666
2025-09-05,1133,5366,3058
2025-09-05,1133,8736,2894
